IP Address,MAC Address,Device Name,Subnet,Device Type,VLAN,Location,Active,Last Seen,Serial Number,Manufacturer,Model,Firmware Version,Managed By,Assignment Type,Timestamp,Criticality,Network Purpose,DNS Records,IP Assignment Date,Change Reference
10.5.211.12,71:4A:08:85:D5:97,LON-DC1-S48,10.5.211.0/24,Layer 3 Switch,2629,LON-DC1-R8-C15,Maintenance,2025-02-06T14:24:58Z,FOG66G66GG,Cisco,Catalyst 9200-24P,IOS XE 17.4.7,Network Operations Team,Static,2025-02-06T14:24:58Z,Medium,User Access,lon-dc1-s48.corp.local,2024-02-06T08:10:34Z,CHG81636
10.7.38.242,18:03:D3:46:76:22,SIN-DC1-S68,10.7.38.0/24,Switch,2180,SIN-DC1-R9-C14,Active,2024-05-04T03:59:56Z,FOA77A77AA,Cisco,Catalyst 9200-24P,IOS XE 17.7.0,Core Network Team,Reserved,2024-05-04T03:59:56Z,High,DMZ,sin-dc1-s68.enterprise.net,2023-11-26T15:48:30Z,CHG47576
10.6.76.62,62:81:B5:88:CB:28,SYD-DC1-S14,10.6.76.0/24,Switch,1545,SYD-DC1-R9-C16,Active,2024-09-25T21:21:51Z,FOM33M33MM,Cisco,Nexus 9336C-FX2,IOS XE 16.1.6,Core Network Team,Reserved,2024-09-25T21:21:51Z,Medium,Management Network,syd-dc1-s14.corp.local,2023-06-03T17:03:28Z,CHG75517
10.5.117.55,F3:8A:17:26:8F:10,LON-DC1-S68,10.5.117.0/24,Switch,3419,LON-DC1-R7-C18,Planned,2024-12-07T16:21:22Z,FOK99K99KK,Cisco,Catalyst 9200-24P,IOS XE 16.9.3,Global Network Services,Reserved,2024-12-07T16:21:22Z,Low,Management Network,lon-dc1-s68.corp.local,2024-03-04T14:20:37Z,CHG20279
10.5.118.215,26:AE:CB:A7:0F:8B,LON-DC1-S13,10.5.118.0/24,Switch,3269,LON-DC1-R4-C3,Active,2024-08-24T07:30:13Z,FOP88P88PP,Cisco,Catalyst 9500-32C,IOS XE 17.1.9,Network Operations Team,Static,2024-08-24T07:30:13Z,High,Management Network,lon-dc1-s13.global.org,2024-02-02T23:40:45Z,CHG93086
10.6.46.2,9D:E3:B8:8A:34:43,SYD-DC1-S47,10.6.46.0/24,Switch,1695,SYD-DC1-R7-C3,Maintenance,2024-08-22T22:34:55Z,FOA88A88AA,Cisco,Catalyst 9300-48P,IOS XE 17.6.0,Enterprise Network Team,Reserved,2024-08-22T22:34:55Z,High,User Access,syd-dc1-s47.corp.local,2024-01-23T17:58:31Z,CHG59903
10.5.74.17,55:DE:8D:D7:99:F7,LON-DC1-S35,10.5.74.0/24,Switch,3887,LON-DC1-R7-C11,Decommissioned,2024-05-04T05:26:38Z,JPL77L77LL,Juniper,EX4300-48P,JunOS 19.2R4,Network Operations Team,DHCP,2024-05-04T05:26:38Z,Low,User Access,lon-dc1-s35.enterprise.net,2023-10-16T20:00:05Z,CHG95332
10.5.245.81,5A:CB:A3:95:FB:7C,LON-DC1-S78,10.5.245.0/24,Switch,3145,LON-DC1-R9-C1,Decommissioned,2025-01-21T08:23:23Z,JPM66M66MM,Juniper,QFX5120-48Y,JunOS 21.8R2,Security Infrastructure Team,DHCP,2025-01-21T08:23:23Z,Medium,Management Network,lon-dc1-s78.enterprise.net,2024-03-20T10:28:31Z,CHG19064
10.6.123.65,4E:D8:C1:25:E5:F5,SYD-DC1-S82,10.6.123.0/24,Switch,3150,SYD-DC1-R4-C12,Maintenance,2024-06-13T01:45:51Z,JPR66R66RR,Juniper,EX4650-48Y,JunOS 21.9R1,Enterprise Network Team,Static,2024-06-13T01:45:51Z,Medium,Core Infrastructure,syd-dc1-s82.global.org,2024-02-18T21:52:46Z,CHG53463
10.1.113.115,BF:C8:ED:4D:B0:0C,NYC-DC1-S34,10.1.113.0/24,Switch,1979,NYC-DC1-R6-C16,Active,2024-11-19T23:30:35Z,JPD11D11DD,Juniper,EX4650-48Y,JunOS 20.7R3,Global Network Services,Reserved,2024-11-19T23:30:35Z,Medium,Core Infrastructure,nyc-dc1-s34.global.org,2023-09-03T10:49:09Z,CHG18804
10.1.84.239,7C:59:51:A9:DA:EC,NYC-DC1-S44,10.1.84.0/24,Switch,2426,NYC-DC1-R7-C13,Active,2024-10-23T04:42:37Z,JPZ22Z22ZZ,Juniper,EX2300-24P,JunOS 21.9R3,Security Infrastructure Team,Static,2024-10-23T04:42:37Z,Low,Core Infrastructure,nyc-dc1-s44.enterprise.net,2024-02-18T18:32:57Z,CHG18200
10.7.100.118,3A:86:FA:A0:C6:C8,SIN-DC1-S47,10.7.100.0/24,Switch,978,SIN-DC1-R5-C4,Maintenance,2024-06-16T08:55:03Z,JPL99L99LL,Juniper,EX4300-48P,JunOS 19.2R5,Network Operations Team,Reserved,2024-06-16T08:55:03Z,Medium,DMZ,sin-dc1-s47.corp.local,2023-11-16T23:36:01Z,CHG60916
10.3.249.163,58:55:FA:93:47:5F,SFO-DC2-S55,10.3.249.0/24,Switch,2028,SFO-DC2-R7-C16,Decommissioned,2025-01-10T05:25:07Z,JPO55O55OO,Juniper,QFX5120-48Y,JunOS 20.8R8,Global Network Services,DHCP,2025-01-10T05:25:07Z,High,Voice Network,sfo-dc2-s55.corp.local,2023-06-03T16:54:48Z,CHG84107
10.4.115.138,93:56:EA:FD:39:3A,SFO-DC2-S05,10.4.115.0/24,Switch,3584,SFO-DC2-R1-C15,Planned,2024-08-25T05:12:57Z,JPY88Y88YY,Juniper,QFX5120-48Y,JunOS 20.1R3,Network Operations Team,Static,2024-08-25T05:12:57Z,High,User Access,sfo-dc2-s05.global.org,2024-04-02T15:27:33Z,CHG25386
10.7.84.158,47:69:69:1E:B3:8F,SIN-DC1-S91,10.7.84.0/24,Switch,243,SIN-DC1-R5-C5,Maintenance,2025-04-23T09:54:45Z,JPK44K44KK,Juniper,EX2300-24P,JunOS 19.2R6,Security Infrastructure Team,Static,2025-04-23T09:54:45Z,Low,Server Farm,sin-dc1-s91.enterprise.net,2024-03-19T08:22:39Z,CHG42447
10.6.212.97,E7:26:2F:CE:8E:BC,SYD-DC1-S74,10.6.212.0/24,Switch,3379,SYD-DC1-R4-C16,Planned,2024-10-15T10:55:53Z,JPP00P00PP,Juniper,EX4650-48Y,JunOS 21.6R3,Network Operations Team,DHCP,2024-10-15T10:55:53Z,High,DMZ,syd-dc1-s74.enterprise.net,2023-12-01T03:40:17Z,CHG85750
10.6.23.26,EB:08:3F:50:E1:E9,SYD-DC1-S98,10.6.23.0/24,Switches,1524,SYD-DC1-R3-C2,Decommissioned,2024-06-02T14:34:57Z,JPN22N22NN,Juniper,EX4300-48P,JunOS 21.5R4,Network Operations Team,Reserved,2024-06-02T14:34:57Z,High,Management Network,syd-dc1-s98.corp.local,2023-10-16T07:05:23Z,CHG95915
10.2.39.34,73:E3:04:04:AF:3D,NYC-DC1-S28,10.2.39.0/24,Switch,3609,NYC-DC1-R5-C5,Decommissioned,2024-09-21T08:17:26Z,JPW11W11WW,Juniper Networks,EX4650-48Y,JunOS 19.1R5,Security Infrastructure Team,Reserved,2024-09-21T08:17:26Z,Low,Core Infrastructure,nyc-dc1-s28.corp.local,2023-05-29T04:00:35Z,CHG79534
10.7.109.161,4D:D2:E2:6F:2C:33,SIN-DC1-S57,10.7.109.0/24,Switch,346,SIN-DC1-R4-C18,Planned,2025-01-06T22:40:00Z,JPY66Y66YY,Juniper Networks,EX2300-24P,JunOS 19.3R4,Core Network Team,Reserved,2025-01-06T22:40:00Z,Low,DMZ,sin-dc1-s57.enterprise.net,2023-07-21T09:15:37Z,CHG77862
10.3.122.127,C5:39:7B:FF:24:06,SFO-DC2-S83,10.3.122.0/24,Switch,2406,SFO-DC2-R2-C1,Planned,2024-05-08T01:55:26Z,JPK99K99KK,Juniper Networks,QFX5120-48Y,JunOS 19.7R1,Security Infrastructure Team,Static,2024-05-08T01:55:26Z,Low,IoT Connectivity,sfo-dc2-s83.company.com,2024-03-04T03:05:00Z,CHG62163
10.7.42.164,4E:8E:2A:9E:28:68,SIN-DC1-S55,10.7.42.0/24,Switch,3788,SIN-DC1-R7-C4,Decommissioned,2024-06-04T01:55:44Z,JPR99R99RR,Juniper Networks,EX2300-24P,JunOS 19.0R3,Enterprise Network Team,Reserved,2024-06-04T01:55:44Z,Low,Management Network,sin-dc1-s55.company.com,2023-08-30T17:09:35Z,CHG97304
10.3.5.42,FE:B1:84:55:BE:40,SFO-DC1-S02,10.3.5.0/24,Switch,316,SFO-DC1-R8-C15,Planned,2024-12-31T07:23:50Z,JPX00X00XX,Juniper Network,QFX5120-48Y,JunOS 19.4R9,Core Network Team,DHCP,2024-12-31T07:23:50Z,Medium,Voice Network,sfo-dc1-s02.corp.local,2023-09-22T09:27:57Z,CHG30618
10.1.22.220,06:7D:17:F1:BA:C4,NYC-DC1-S30,10.1.22.0/24,Switch,320,NYC-DC1-R10-C12,Active,2025-03-18T09:13:03Z,JPF66F66FF,Juniper,EX2300-24P,JunOS 21.5R4,Enterprise Network Team,Reserved,2025-03-18T09:13:03Z,Low,Core Infrastructure,nyc-dc1-s30.company.com,2023-07-11T05:58:40Z,CHG39253
10.6.159.84,2C:E9:04:BC:66:95,SYD-DC1-S60,10.6.159.0/24,Switch,27,SYD-DC1-R7-C1,Maintenance,2024-06-29T01:44:52Z,JPX77X77XX,Juniper,QFX5120-48Y,JunOS 19.8R3,Enterprise Network Team,DHCP,2024-06-29T01:44:52Z,Low,Server Farm,syd-dc1-s60.company.com,2023-09-09T16:57:20Z,CHG10191
10.5.214.126,1E:48:8F:2F:16:76,LON-DC1-S27,10.5.214.0/24,Switch,3486,LON-DC1-R6-C13,Planned,2024-08-10T22:58:45Z,JPU99U99UU,Juniper,EX4650-48Y,JunOS 19.3R4,Network Operations Team,DHCP,2024-08-10T22:58:45Z,High,User Access,lon-dc1-s27.enterprise.net,2023-08-01T07:46:55Z,CHG19789
10.7.84.116,EE:A0:D0:3D:B7:6A,SIN-DC1-S20,10.7.84.0/24,Switch,3424,SIN-DC1-R6-C5,Active,2024-07-24T02:30:23Z,JPJ11J11JJ,Juniper,EX4650-48Y,JunOS 21.9R0,Security Infrastructure Team,DHCP,2024-07-24T02:30:23Z,Low,IoT Connectivity,sin-dc1-s20.global.org,2023-11-18T00:09:30Z,CHG16416
10.5.231.143,7F:30:EC:34:47:3E,LON-DC1-S04,10.5.231.0/24,Switch,1061,LON-DC1-R2-C1,Active,2024-12-15T05:23:24Z,JPB22B22BB,Juniper,EX4300-48P,JunOS 21.1R9,Security Infrastructure Team,Reserved,2024-12-15T05:23:24Z,High,Voice Network,lon-dc1-s04.global.org,2024-03-11T21:34:40Z,CHG26880
10.5.25.44,DD:CA:FE:0F:C3:DA,LON-DC1-S06,10.5.25.0/24,Switch,2652,LON-DC1-R5-C16,Decommissioned,2024-08-05T01:14:51Z,JPL44L44LL,Juniper,EX2300-24P,JunOS 21.9R9,Enterprise Network Team,DHCP,2024-08-05T01:14:51Z,Medium,User Access,lon-dc1-s06.company.com,2023-06-05T15:59:29Z,CHG46670
10.6.9.254,C3:B7:F5:F8:B0:A4,SYD-DC1-S83,10.6.9.0/24,Switch,1465,SYD-DC1-R10-C8,Maintenance,2024-11-23T05:02:02Z,JPI55I55II,Juniper,EX4650-48Y,JunOS 20.0R7,Core Network Team,Static,2024-11-23T05:02:02Z,Low,Core Infrastructure,syd-dc1-s83.corp.local,2023-08-14T02:34:45Z,CHG79951
10.3.90.61,A2:B7:0E:B4:48:60,SFO-DC2-S46,10.3.90.0/24,Switch,1958,SFO-DC2-R1-C11,Maintenance,2024-11-22T01:13:23Z,JPR77R77RR,Juniper,EX4650-48Y,JunOS 21.3R0,Security Infrastructure Team,DHCP,2024-11-22T01:13:23Z,High,Core Infrastructure,sfo-dc2-s46.corp.local,2024-04-23T10:01:30Z,CHG52413
10.4.37.96,CA:33:AC:9A:A5:45,SFO-DC1-S15,10.4.37.0/24,Network Switch,2986,SFO-DC1-R1-C19,Decommissioned,2024-07-09T14:43:43Z,JPT33T33TT,Juniper,EX2300-24P,JunOS 21.4R2,Enterprise Network Team,Static,2024-07-09T14:43:43Z,Low,User Access,sfo-dc1-s15.corp.local,2023-12-22T13:02:12Z,CHG51709
10.7.169.191,27:79:B1:A3:55:2D,SIN-DC1-S64,10.7.169.0/24,Switch,1795,SIN-DC1-R7-C6,Decommissioned,2024-09-28T11:33:43Z,JPO33O33OO,Juniper,QFX5120-48Y,JunOS 19.0R0,Global Network Services,DHCP,2024-09-28T11:33:43Z,High,Voice Network,sin-dc1-s64.enterprise.net,2023-11-30T15:40:47Z,CHG59197
10.6.37.205,11:96:0A:A3:85:35,SYD-DC1-S21,10.6.37.0/24,Switch,127,SYD-DC1-R7-C6,Decommissioned,2025-01-30T04:49:36Z,JPK22K22KK,Juniper,EX4300-48P,JunOS 21.9R7,Security Infrastructure Team,Static,2025-01-30T04:49:36Z,High,Server Farm,syd-dc1-s21.company.com,2023-09-08T04:23:33Z,CHG36941
10.7.152.61,31:19:C9:FB:4E:1B,SIN-DC1-S85,10.7.152.0/24,Switch,1196,SIN-DC1-R2-C16,Active,2025-01-04T10:44:08Z,JPA44A44AA,Juniper,QFX5120-48Y,JunOS 19.3R2,Network Operations Team,DHCP,2025-01-04T10:44:08Z,Medium,Core Infrastructure,sin-dc1-s85.global.org,2023-11-08T13:04:48Z,CHG96643
10.7.195.95,5F:E4:16:86:E1:EE,SIN-DC1-S24,10.7.195.0/24,Switch,2416,SIN-DC1-R4-C18,Active,2025-02-19T09:03:24Z,JPH00H00HH,Juniper,QFX5120-48Y,JunOS 20.8R6,Global Network Services,Reserved,2025-02-19T09:03:24Z,Low,User Access,sin-dc1-s24.global.org,2023-11-26T13:43:24Z,CHG72236
10.6.17.129,4B:3D:E5:58:55:6C,SYD-DC1-S11,10.6.17.0/24,Switch,1590,SYD-DC1-R9-C13,Planned,2024-06-04T09:31:19Z,JPE11E11EE,Juniper,EX2300-24P,JunOS 20.5R1,Network Operations Team,Reserved,2024-06-04T09:31:19Z,Low,DMZ,syd-dc1-s11.global.org,2024-04-22T18:56:09Z,CHG11620
10.7.76.38,33:36:33:92:B0:D2,SIN-DC1-S15,10.7.76.0/24,Switch,2494,SIN-DC1-R7-C2,Decommissioned,2024-12-27T16:49:25Z,JPM99M99MM,Juniper,QFX5120-48Y,JunOS 20.6R2,Network Operations Team,Reserved,2024-12-27T16:49:25Z,Medium,IoT Connectivity,sin-dc1-s15.corp.local,2023-05-21T17:47:33Z,CHG72287
10.2.143.216,FB:32:74:44:99:E2,NYC-DC2-S39,10.2.143.0/24,Switch,1532,NYC-DC2-R1-C17,Maintenance,2025-04-03T09:09:16Z,JPI99I99II,Juniper,QFX5120-48Y,JunOS 20.7R8,Core Network Team,DHCP,2025-04-03T09:09:16Z,Low,Core Infrastructure,nyc-dc2-s39.global.org,2023-06-24T06:42:55Z,CHG78719
10.3.127.9,E9:19:B8:65:8C:BC,SFO-DC1-S26,10.3.127.0/24,Switch,1944,SFO-DC1-R10-C18,Planned,2025-04-04T15:50:10Z,JPQ11Q11QQ,Juniper,EX4650-48Y,JunOS 21.7R2,Network Operations Team,Static,2025-04-04T15:50:10Z,Medium,Core Infrastructure,sfo-dc1-s26.enterprise.net,2024-02-17T11:11:28Z,CHG21847
10.6.137.167,D1:0A:04:F2:43:58,SYD-DC1-S87,10.6.137.0/24,Switch,1238,SYD-DC1-R9-C20,Decommissioned,2024-10-29T20:18:29Z,JPH44H44HH,Juniper,EX4300-48P,JunOS 20.4R3,Enterprise Network Team,Static,2024-10-29T20:18:29Z,Medium,DMZ,syd-dc1-s87.company.com,2023-11-17T06:01:15Z,CHG96816
10.7.246.17,AC:8D:A6:8D:85:98,SIN-DC1-S39,10.7.246.0/24,Switch,2038,SIN-DC1-R5-C9,Decommissioned,2025-01-11T03:08:36Z,JPE33E33EE,Juniper,EX2300-24P,JunOS 20.2R0,Global Network Services,DHCP,2025-01-11T03:08:36Z,High,IoT Connectivity,sin-dc1-s39.company.com,2023-12-15T00:32:32Z,CHG84978
10.4.153.217,57:5C:96:31:F1:41,SFO-DC2-S86,10.4.153.0/24,Network Switch,3633,SFO-DC2-R6-C12,Planned,2025-03-03T15:54:09Z,JPX22X22XX,Juniper Network,QFX5120-48Y,JunOS 19.4R6,Enterprise Network Team,DHCP,2025-03-03T15:54:09Z,Medium,Core Infrastructure,sfo-dc2-s86.global.org,2024-03-28T04:15:21Z,CHG25437
10.7.61.223,C3:98:D3:1B:4D:46,SIN-DC1-S61,10.7.61.0/24,Switch,4042,SIN-DC1-R3-C11,Active,2025-01-01T16:01:09Z,JPK77K77KK,Juniper Network,EX2300-24P,JunOS 19.7R5,Core Network Team,DHCP,2025-01-01T16:01:09Z,Low,Voice Network,sin-dc1-s61.enterprise.net,2023-07-22T21:57:09Z,CHG32099
10.3.66.158,DE:DB:CE:DB:F4:C4,SFO-DC2-S98,10.3.66.0/24,Switch,2841,SFO-DC2-R6-C10,Maintenance,2024-07-28T11:19:00Z,JPB55B55BB,Juniper Network,EX4300-48P,JunOS 19.0R3,Core Network Team,DHCP,2024-07-28T11:19:00Z,High,IoT Connectivity,sfo-dc2-s98.enterprise.net,2023-07-06T11:06:30Z,CHG18557
10.5.222.228,44:AF:FA:B7:60:54,LON-DC1-S94,10.5.222.0/24,Switch,2665,LON-DC1-R1-C13,Planned,2025-02-01T18:23:38Z,JPA22A22AA,Juniper Network,EX4650-48Y,JunOS 19.1R5,Enterprise Network Team,Reserved,2025-02-01T18:23:38Z,Low,Core Infrastructure,lon-dc1-s94.company.com,2023-12-19T06:08:27Z,CHG16286
10.1.213.114,C2:3F:81:F2:4E:69,NYC-DC1-S89,10.1.213.0/24,Switch,2882,NYC-DC1-R7-C10,Maintenance,2024-09-17T14:26:26Z,JPD77D77DD,Juniper Network,EX4300-48P,JunOS 20.8R3,Core Network Team,Reserved,2024-09-17T14:26:26Z,Low,Server Farm,nyc-dc1-s89.global.org,2024-04-20T03:30:22Z,CHG37222
10.5.45.233,38:FC:4C:2E:26:33,LON-DC1-S01,10.5.45.0/24,Switch,3284,LON-DC1-R6-C14,Active,2024-09-18T11:48:41Z,JPU44U44UU,Juniper Network,QFX5120-48Y,JunOS 19.0R4,Core Network Team,Static,2024-09-18T11:48:41Z,Low,Management Network,lon-dc1-s01.company.com,2024-03-28T11:34:16Z,CHG28139
10.4.47.96,AF:5D:3A:CD:CC:E9,SFO-DC2-S57,10.4.47.0/24,Switch,1556,SFO-DC2-R6-C20,Active,2024-12-25T00:18:44Z,JPX11X11XX,Juniper,QFX5120-48Y,JunOS 21.7R2,Security Infrastructure Team,DHCP,2024-12-25T00:18:44Z,Medium,Core Infrastructure,sfo-dc2-s57.global.org,2023-06-15T11:01:15Z,CHG63907
10.2.6.181,72:AD:30:DD:7F:F6,NYC-DC2-S84,10.2.6.0/24,Switch,1923,NYC-DC2-R8-C6,Active,2025-03-27T06:10:54Z,JPV66V66VV,Juniper,QFX5120-48Y,JunOS 19.2R8,Global Network Services,DHCP,2025-03-27T06:10:54Z,High,DMZ,nyc-dc2-s84.corp.local,2023-09-08T02:31:51Z,CHG46458
10.3.40.118,E3:E5:2D:FF:E4:A1,SFO-DC2-S52,10.3.40.0/24,Switch,1489,SFO-DC2-R1-C8,Decommissioned,2024-09-10T23:21:32Z,JPR11R11RR,Juniper,EX4300-48P,JunOS 21.3R7,Network Operations Team,Reserved,2024-09-10T23:21:32Z,Medium,Management Network,sfo-dc2-s52.global.org,2024-02-04T22:06:17Z,CHG96136
10.6.1.88,B5:95:BF:36:17:54,SYD-DC1-S13,10.6.1.0/24,Switch,1873,SYD-DC1-R4-C11,Active,2024-07-24T07:48:26Z,JPE66E66EE,Juniper,EX4650-48Y,JunOS 19.1R6,Global Network Services,Static,2024-07-24T07:48:26Z,Medium,Management Network,syd-dc1-s13.company.com,2024-02-26T11:16:55Z,CHG69048
10.7.221.215,F7:5A:58:41:35:C6,SIN-DC1-S01,10.7.221.0/24,Switch,1691,SIN-DC1-R10-C17,Planned,2024-06-24T06:17:54Z,JPQ99Q99QQ,Juniper,QFX5120-48Y,JunOS 20.7R2,Enterprise Network Team,DHCP,2024-06-24T06:17:54Z,Low,Management Network,sin-dc1-s01.corp.local,2023-07-19T14:47:22Z,CHG37487
10.5.91.129,A5:3B:B4:F5:D5:92,LON-DC1-S87,10.5.91.0/24,Switch,3073,LON-DC1-R3-C10,Planned,2024-08-13T06:47:07Z,JPZ11Z11ZZ,Juniper,EX4650-48Y,JunOS 21.0R3,Security Infrastructure Team,Static,2024-08-13T06:47:07Z,High,IoT Connectivity,lon-dc1-s87.enterprise.net,2023-07-20T19:47:37Z,CHG80932
10.6.199.61,93:18:C3:C6:D5:A0,SYD-DC1-S79,10.6.199.0/24,Switch,3025,SYD-DC1-R10-C7,Maintenance,2024-11-29T21:11:23Z,JPA33A33AA,Juniper,EX4300-48P,JunOS 21.5R9,Network Operations Team,DHCP,2024-11-29T21:11:23Z,High,User Access,syd-dc1-s79.corp.local,2024-01-22T17:12:33Z,CHG19760
10.7.219.72,87:42:52:82:02:A9,SIN-DC1-S49,10.7.219.0/24,Switch,3236,SIN-DC1-R10-C18,Planned,2024-11-08T02:38:01Z,JPW22W22WW,Juniper,EX4650-48Y,JunOS 21.9R4,Core Network Team,Reserved,2024-11-08T02:38:01Z,High,DMZ,sin-dc1-s49.enterprise.net,2023-11-22T15:24:16Z,CHG38830
10.2.47.90,71:6D:A9:A9:B8:96,NYC-DC1-S54,10.2.47.0/24,Switch,2631,NYC-DC1-R10-C20,Maintenance,2025-04-17T20:53:07Z,JPY77Y77YY,Juniper,EX2300-24P,JunOS 20.7R3,Core Network Team,Reserved,2025-04-17T20:53:07Z,Medium,IoT Connectivity,nyc-dc1-s54.enterprise.net,2023-09-27T17:01:04Z,CHG24860
10.7.228.125,16:97:62:A4:2A:31,SIN-DC1-S67,10.7.228.0/24,Switch,3395,SIN-DC1-R7-C3,Maintenance,2024-11-26T10:36:00Z,JPY00Y00YY,Juniper,EX2300-24P,JunOS 20.1R3,Core Network Team,DHCP,2024-11-26T10:36:00Z,High,Core Infrastructure,sin-dc1-s67.enterprise.net,2023-05-17T07:29:36Z,CHG21471
10.3.116.234,84:D0:C6:E6:CF:DD,SFO-DC2-S72,10.3.116.0/24,Switch,3475,SFO-DC2-R2-C12,Active,2025-01-28T19:03:41Z,JPA11A11AA,Juniper,QFX5120-48Y,JunOS 21.9R0,Network Operations Team,Reserved,2025-01-28T19:03:41Z,Medium,Voice Network,sfo-dc2-s72.enterprise.net,2023-12-24T03:58:15Z,CHG21338
10.6.242.41,70:45:C8:97:49:98,SYD-DC1-S51,10.6.242.0/24,Switch,3710,SYD-DC1-R9-C5,Maintenance,2024-10-08T20:35:10Z,JPT88T88TT,Juniper,QFX5120-48Y,JunOS 21.5R3,Security Infrastructure Team,Static,2024-10-08T20:35:10Z,High,Management Network,syd-dc1-s51.enterprise.net,2023-07-17T01:37:08Z,CHG25023
10.7.37.75,22:80:32:65:F9:A9,SIN-DC1-S97,10.7.37.0/24,Switch,1493,SIN-DC1-R6-C14,Maintenance,2024-12-07T17:54:11Z,JPG77G77GG,Juniper,QFX5120-48Y,JunOS 21.2R9,Core Network Team,DHCP,2024-12-07T17:54:11Z,Low,Management Network,sin-dc1-s97.corp.local,2024-03-02T17:15:01Z,CHG39035
10.6.245.119,E4:B7:9C:F9:37:59,SYD-DC1-S18,10.6.245.0/24,Switch,1660,SYD-DC1-R10-C7,Active,2024-12-12T10:06:50Z,JPI33I33II,Juniper,EX4300-48P,JunOS 21.0R9,Enterprise Network Team,DHCP,2024-12-12T10:06:50Z,Medium,Server Farm,syd-dc1-s18.global.org,2024-01-11T13:13:59Z,CHG29481
10.4.46.102,BA:05:7A:54:47:E4,SFO-DC2-S18,10.4.46.0/24,Switch,1514,SFO-DC2-R4-C2,Maintenance,2024-08-12T06:21:15Z,JPF22F22FF,Juniper,EX2300-24P,JunOS 20.3R1,Enterprise Network Team,DHCP,2024-08-12T06:21:15Z,High,Core Infrastructure,sfo-dc2-s18.global.org,2023-11-01T00:02:54Z,CHG69591
10.5.134.149,59:C0:C1:BB:27:80,LON-DC1-S91,10.5.134.0/24,Network Switch,679,LON-DC1-R4-C3,Planned,2024-10-19T10:31:14Z,JPH55H55HH,Juniper,EX4650-48Y,JunOS 19.8R2,Security Infrastructure Team,Static,2024-10-19T10:31:14Z,Low,Management Network,lon-dc1-s91.corp.local,2023-07-02T17:02:39Z,CHG57477
10.1.246.173,F5:F5:6B:52:D2:0B,NYC-DC1-S43,10.1.246.0/24,Switch,1058,NYC-DC1-R3-C17,Decommissioned,2024-07-05T04:46:53Z,JPB99B99BB,Juniper,EX2300-24P,JunOS 21.2R0,Enterprise Network Team,Reserved,2024-07-05T04:46:53Z,Medium,Core Infrastructure,nyc-dc1-s43.company.com,2024-04-07T18:39:52Z,CHG96736
10.4.246.44,70:D2:49:5D:87:55,SFO-DC2-S78,10.4.246.0/24,Switch,3521,SFO-DC2-R9-C14,Maintenance,2024-11-20T14:23:25Z,JPO11O11OO,Juniper,QFX5120-48Y,JunOS 19.0R3,Enterprise Network Team,Static,2024-11-20T14:23:25Z,Low,Core Infrastructure,sfo-dc2-s78.corp.local,2023-11-03T09:47:23Z,CHG90576
10.7.66.231,00:DC:D7:BD:16:DB,SIN-DC1-S12,10.7.66.0/24,Switch,3137,SIN-DC1-R4-C3,Planned,2024-11-02T21:38:46Z,JPZ66Z66ZZ,Juniper,EX2300-24P,JunOS 20.2R4,Enterprise Network Team,Reserved,2024-11-02T21:38:46Z,High,Management Network,sin-dc1-s12.global.org,2023-08-10T17:17:02Z,CHG34775
10.2.105.177,A1:D1:B9:36:4F:DA,NYC-DC1-S01,10.2.105.0/24,Switch,2083,NYC-DC1-R7-C11,Active,2024-07-23T21:15:44Z,JPY22Y22YY,Juniper Networks,QFX5120-48Y,JunOS 21.2R1,Security Infrastructure Team,DHCP,2024-07-23T21:15:44Z,High,Server Farm,nyc-dc1-s01.company.com,2024-03-09T23:38:00Z,CHG21939
10.7.113.95,28:13:C4:CD:92:1D,SIN-DC1-S09,10.7.113.0/24,Switch,2861,SIN-DC1-R4-C20,Maintenance,2024-11-17T22:05:56Z,JPU00U00UU,Juniper Networks,EX2300-24P,JunOS 19.9R8,Core Network Team,DHCP,2024-11-17T22:05:56Z,High,Core Infrastructure,sin-dc1-s09.corp.local,2024-01-11T23:35:17Z,CHG10037
10.5.207.151,66:07:23:2E:91:B2,LON-DC1-S46,10.5.207.0/24,Switch,2103,LON-DC1-R5-C18,Planned,2025-03-09T10:19:53Z,JPI88I88II,Juniper Networks,QFX5120-48Y,JunOS 20.5R1,Global Network Services,DHCP,2025-03-09T10:19:53Z,Medium,Voice Network,lon-dc1-s46.global.org,2024-02-25T14:58:54Z,CHG41886
10.6.246.30,84:22:C3:70:75:A1,SYD-DC1-S76,10.6.246.0/24,Switch,3815,SYD-DC1-R3-C16,Planned,2024-12-02T23:09:43Z,JPL00L00LL,Juniper Networks,EX4650-48Y,JunOS 20.5R1,Network Operations Team,Static,2024-12-02T23:09:43Z,High,Server Farm,syd-dc1-s76.enterprise.net,2023-07-12T14:02:31Z,CHG99536
10.3.135.53,75:67:7F:B6:4F:36,SFO-DC1-S95,10.3.135.0/24,Switch,2017,SFO-DC1-R10-C9,Decommissioned,2024-09-01T02:15:58Z,JPC77C77CC,Juniper Networks,EX4300-48P,JunOS 20.5R9,Security Infrastructure Team,Reserved,2024-09-01T02:15:58Z,Low,User Access,sfo-dc1-s95.enterprise.net,2023-10-04T02:52:23Z,CHG39110
